Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2019,Ryan Connelly,Wisconsin,LB,74,242,9.38,30.88,,4.66,,34.5,118,7.09,4.31,
2019,C.J. Conrad,Kentucky,TE,76,249,9.25,31,,9.99,,,,9.99,9.99,
2019,Byron Cowart,Maryland,DT,75,298,10,33.75,,5.16,26,30,111,9.99,9.99,
2019,Jonathan Crawford,Indiana,S,73,205,9.25,31.5,,9.99,16,31.5,115,9.99,9.99,
2019,Xavier Crawford,Central Michigan,CB,71,187,9,29.13,,4.48,11,37.5,,9.99,9.99,
2019,Maxx Crosby,Eastern Michigan,EDG,77,255,9.75,32.88,,4.66,,36,122,6.89,4.13,11.35
2019,Jamal Custis,Syracuse,WR,76,214,10.88,33.88,,4.5,,34.5,124,9.99,9.99,
2019,Dennis Daley,South Carolina,OT,77,317,9.5,33.38,,5.23,20,26.5,103,7.95,4.92,
2019,Davante Davis,Texas,CB,74,202,9.75,31.38,,4.57,14,37,125,6.76,4.15,
2019,Deshaun Davis,Auburn,LB,71,234,10,31.25,,9.99,25,31,111,9.99,4.38,
2019,Felton Davis,Michigan State,WR,75,211,10.25,32.75,,9.99,21,,,9.99,9.99,
2019,Jamal Davis,Akron,EDG,75,243,10.25,34.25,,4.6,19,39,122,7,4.44,11.78
2019,Nate Davis,North Carolina Charlotte,OG,75,316,9.5,33.13,,5.23,23,26,107,7.94,4.83,
2019,Ryan Davis,Auburn,WR,70,189,9.25,30.88,,9.99,12,35,124,7.09,4.23,
2019,Jamel Dean,Auburn,CB,73,206,9.13,31.75,,4.3,16,41,130,7.02,4.19,
2019,Michael Deiter,Wisconsin,OG,77,309,10.75,33.13,,5.23,21,28,105,7.88,4.81,
2019,Lukas Denis,Boston College,S,71,190,9.5,31.25,,4.64,16,33.5,116,6.89,4.09,11.42
2019,Andre Dillard,Washington State,OT,77,315,10,33.5,,4.96,24,29,118,7.44,4.4,
2019,D'Cota Dixon,Wisconsin,S,70,204,9.13,29.25,,4.81,20,33.5,119,9.99,9.99,
2019,Johnnie Dixon,Ohio State,WR,70,201,9.63,30.25,,4.41,16,37.5,120,9.99,4.43,
2019,Tyrel Dodson,Texas A&M,LB,72,237,9.13,31.75,,4.6,24,,118,9.99,9.99,
2019,Greg Dortch,Wake Forest,WR,67,173,9.25,29.25,,9.99,,,,9.99,9.99,
2019,Keelan Doss,UC-Davis,WR,74,211,9.5,31.75,,9.99,8,,,9.99,9.99,
2019,Ashton Dulin,Malone (OH),WR,73,215,9,33.38,,4.43,13,38,121,7,4.22,
2019,Jovon Durante,Florida Atlantic,WR,71,160,8.75,31.13,,4.55,,31.5,120,7,4.31,
2019,Chuma Edoga,Southern California,OT,75,308,9.63,34.75,,5.19,21,,,9.99,9.99,
2019,David Edwards,Wisconsin,OT,78,308,9.75,33.38,,5.28,,25.5,99,7.69,4.77,
2019,Mike Edwards,Kentucky,S,70,205,9.38,30.88,,9.99,,,,9.99,9.99,
2019,T.J. Edwards,Wisconsin,LB,72,230,9.38,31.25,,9.99,16,,,9.99,9.99,
2019,Emeke Egbule,Houston,LB,74,245,9.25,33,,4.65,20,33,119,7.38,4.38,
2019,Noah Fant,Iowa,TE,76,249,9.75,33.5,,4.5,20,39.5,127,6.81,4.22,11.49
2019,Rashad Fenton,South Carolina,CB,71,193,8.75,30.38,,4.52,12,34,117,9.99,4.25,
2019,Jazz Ferguson,Northwestern State (LA),WR,77,227,9.25,34.25,,4.45,8,37,123,7.25,4.59,
2019,Clelin Ferrell,Clemson,DE,76,264,10.5,34.13,,9.99,25,,,7.26,4.4,12.07
2019,Mark Fields,Clemson,CB,70,192,9.13,30.5,,4.37,18,,,9.99,9.99,
2019,Ryan Finley,North Carolina State,QB,76,213,9.5,32.88,,4.73,,30.5,116,7.2,4.2,
2019,Nick Fitzgerald,Mississippi State,QB,77,226,9.75,31.88,,4.64,,29.5,115,9.99,9.99,
2019,Jack Fox,Rice (TX),P,74,213,9.25,31.75,,4.73,,27.5,114,9.99,9.99,
2019,Hjalte Froholdt,Arkansas,OG,77,306,9.75,31.25,,5.2,31,27.5,105,7.51,4.54,
2019,Travis Fulgham,Old Dominion (VA),WR,74,215,9.5,33.75,,4.58,15,36.5,126,9.99,9.99,
2019,Lamont Gaillard,Georgia,C,75,305,10.38,33.5,,9.99,,,,9.99,9.99,
2019,Greg Gaines,Washington,DT,73,312,9.63,31.25,,5.16,30,31,109,9.99,9.99,
2019,Malik Gant,Marshall (WV),S,72,209,8.88,30.5,,4.63,17,34.5,114,7.45,4.3,
2019,Chauncey Gardner-Johnson,Florida,S,71,210,9.25,30.88,,4.48,17,36,117,7.03,4.2,
2019,Rashan Gary,Michigan,DE,76,277,9.63,34.13,,4.58,26,38,120,7.26,4.29,
2019,Myles Gaskin,Washington,RB,69,205,8.75,29.5,,4.58,24,35.5,118,7.19,4.27,11.77
2019,Matt Gay,Utah,K,72,232,9,30.5,,9.99,,,,9.99,9.99,
2019,Zach Gentry,Michigan,TE,80,265,9.5,34.13,,4.9,12,29.5,110,7.4,4.53,12.43
2019,Joe Giles-Harris,Duke,LB,74,234,8.5,31.25,,4.75,17,29.5,111,9.99,9.99,
2019,Kevin Givens,Penn State,DT,73,285,9.63,32.13,,5.08,32,31,115,7.63,4.62,
2019,Dan Godsil,Indiana,LS,76,241,10.13,33,,5,16,34.5,118,7.56,4.55,
2019,Terry Godwin,Georgia,WR,71,184,9.38,30,,4.55,,36.5,117,6.96,9.99,
2019,Carl Granderson,Wyoming,EDG,77,254,9.63,34,,4.79,,35,119,7.44,4.41,12.13
2019,Gerri Green,Mississippi State,EDG,76,252,10,33,,4.63,24,35,114,7.27,4.42,
2019,Ethan Greenidge,Villanova,OL,76,327,10.38,34.75,,9.99,,,,9.99,9.99,
2019,Dre Greenlaw,Arkansas,LB,71,237,9.88,32.25,,9.99,24,33,117,9.99,9.99,
2019,Will Grier,West Virginia,QB,74,217,9.38,31.5,,4.84,,34,112,7.09,4.28,
2019,Porter Gustin,Southern California,EDG,76,255,10,33,,4.69,31,35.5,119,9.99,9.99,
2019,Emanuel Hall,Missouri,WR,74,201,9.75,33.25,,4.39,15,43.5,141,9.99,9.99,
2019,Nate Hall,Northwestern,LB,74,225,9.38,32.25,,9.99,,,,9.99,9.99,
2019,Terez Hall,Missouri,LB,73,230,10.38,33.5,,9.99,20,,,9.99,9.99,
2019,Saquan Hampton,Rutgers,S,73,206,8.63,31.63,,4.48,14,,125,9.99,9.99,
2019,Terrill Hanks,New Mexico State,LB,74,242,9.75,33.5,,4.98,21,35.5,118,9.99,9.99,
2019,Chase Hansen,Utah,LB,75,222,9.38,30.5,,9.99,,,,9.99,9.99,
2019,Mecole Hardman,Georgia,WR,70,187,9,30.25,,4.33,17,36.5,119,9.99,9.99,
2019,Kelvin Harmon,North Carolina State,WR,74,221,9.5,32.5,,4.6,18,32.5,117,7.15,4.32,
2019,Damien Harris,Alabama,RB,70,216,9.75,30.75,,4.57,16,37,121,9.99,9.99,
2019,Will Harris,Boston College,S,73,207,9,31.25,,4.41,20,36.5,123,6.91,4.12,11.42
2019,N'Keal Harry,Arizona State,WR,74,228,9.5,33,,4.53,27,38.5,122,9.99,9.99,
2019,Montre Hartage,Northwestern,CB,71,190,9,31.75,,4.68,9,34.5,123,6.95,4.08,11.5
2019,Dwayne Haskins,Ohio State,QB,75,231,9.63,33.5,,5.04,,28.5,,9.99,9.99,
2019,Phil Haynes,Wake Forest,OG,76,322,9.5,33.5,,5.2,33,31,108,7.76,4.95,
2019,Daniel Helm,Duke,TE,76,249,9.5,33.38,,4.89,14,,,9.99,9.99,
2019,Darrell Henderson,Memphis,RB,68,208,8.63,31,,4.49,22,33.5,121,9.99,9.99,
2019,Nate Herbig,Stanford,OG,75,335,10.13,33.25,,5.41,29,24,90,8.15,5.04,
2019,Karan Higdon,Michigan,RB,69,206,9.63,30.75,,4.49,21,34,123,9.99,9.99,
2019,Justice Hill,Oklahoma State,RB,70,198,9.5,31.63,,4.4,21,40,130,9.99,9.99,
2019,Trysten Hill,Central Florida,DT,75,308,10.25,33.38,,5.04,28,35,115,7.7,4.38,
2019,T.J. Hockenson,Iowa,TE,77,251,9.5,32.25,,4.7,17,37.5,123,7.02,4.18,11.55
2019,Alijah Holder,Stanford,CB,73,191,9.5,32.5,,4.6,9,36,121,6.7,4.15,
2019,Justin Hollins,Oregon,EDG,77,248,10.38,33.38,,4.5,25,36.5,119,7.06,4.4,11.94
2019,Elijah Holyfield,Georgia,RB,70,217,9,30.38,,4.78,26,29.5,118,9.99,9.99,
2019,Travis Homer,Miami (FL),RB,70,201,10,31.5,,4.48,17,39.5,130,7.07,4.31,
2019,Amani Hooker,Iowa,S,71,210,9.13,30.13,,4.48,14,37,123,6.81,4.1,11.59
2019,Albert Huggins,Clemson,DT,75,305,10.63,33.5,,5.12,35,25.5,101,7.84,4.84,
2019,Lil'Jordan Humphrey,Texas,WR,76,210,9.5,32.75,,4.75,13,33.5,119,7.09,4.29,
2019,Jalen Hurd,Baylor,WR,77,226,10.25,32,,9.99,23,,,9.99,9.99,
2019,Alec Ingold,Wisconsin,FB,73,242,9.63,31.5,,4.89,16,34,116,7.35,4.32,
2019,Andy Isabella,Massachusetts,WR,69,188,8.38,29.75,,4.31,15,36.5,121,6.95,4.15,
2019,Martez Ivey,Florida,OG,77,315,10.38,36.25,,9.99,,,,9.99,9.99,
2019,Joe Jackson,Miami (FL),DE,76,275,10,34.13,,9.99,22,27,109,9.99,9.99,
2019,Mike Jackson,Miami (FL),CB,73,210,9.75,32.5,,4.45,13,40.5,130,7.12,4.12,
2019,Tyree Jackson,Buffalo,QB,79,249,10.25,34.25,,4.59,,34.5,120,7.09,4.28,
2019,Josh Jacobs,Alabama,RB,70,220,10.13,31.63,,9.99,,,,9.99,9.99,
2019,CeCe Jefferson,Florida,DE,73,266,9.63,33.63,,5.02,17,30.5,108,7.5,4.53,
2019,Jalen Jelks,Oregon,EDG,77,256,9.63,34.63,,4.92,19,32.5,113,7.22,4.59,
2019,Elgton Jenkins,Mississippi State,OL,76,310,10.25,34,,9.99,29,28,109,7.77,4.62,
2019,Gary Jennings,West Virginia,WR,73,214,9.63,32.5,,4.42,20,37,127,7.32,4.15,
2019,Anthony Johnson,Buffalo,WR,74,209,9.38,31.38,,9.99,18,32.5,122,7.12,9.99,
2019,Darryl Johnson,North Carolina A&T,EDG,78,253,10,33.88,,9.99,20,,,9.99,9.99,
2019,Diontae Johnson,Toledo,WR,70,183,9,30.75,,4.53,15,33.5,123,7.09,4.45,
2019,Fred Johnson,Florida,OL,79,326,10.63,34,,9.99,,,,9.99,9.99,
2019,Gary Johnson,Texas,LB,72,226,10.25,31.25,,4.43,16,33.5,121,7.15,4.57,
2019,Isaiah Johnson,Houston,CB,74,208,8.75,33,,4.4,,36.5,133,6.81,4.06,
2019,Jaquan Johnson,Miami (FL),S,70,191,8.75,29.63,,4.69,18,33,121,9.99,9.99,
2019,KeeSean Johnson,Frenso State (CA),WR,73,201,9.5,32,,4.6,14,30,117,7.28,4.23,
2019,Lonnie Johnson,Kentucky,CB,74,213,9.13,32.63,,4.52,15,38,129,7.01,4.1,
2019,Daniel Jones,Duke,QB,77,221,9.75,32.5,,4.81,,33.5,120,7,4.41,
2019,Dre'Mont Jones,Ohio State,DT,75,281,9.63,33.75,,5.12,,31.5,110,7.71,4.53,
2019,Jordan Jones,Kentucky,LB,74,234,9,31.75,,4.62,23,32.5,123,9.99,4.37,
2019,Kendall Joseph,Clemson,LB,72,233,9.75,31.63,,9.99,25,,,9.99,9.99,
2019,Vosean Joseph,Florida,LB,73,230,9.63,31.38,,9.99,,,,9.99,9.99,
2019,Kingsley Keke,Texas A&M,DE,75,288,9.75,34.5,,4.95,,31.5,111,7.55,4.46,
2019,Dawson Knox,Mississippi,TE,76,254,9.75,33.5,,9.99,16,34.5,,7.12,4.27,
2019,Tre Lamar,Clemson,LB,75,253,9.5,32.25,,9.99,,,,9.99,9.99,
2019,Dexter Lawrence,Clemson,DT,76,342,10.5,34.75,,5.05,36,,,9.99,9.99,
2019,Justin Layne,Michigan State,CB,74,192,9.25,33,,4.5,,37.5,134,6.9,4.09,
2019,Jonathan Ledbetter,Georgia,DE,76,280,9.88,34.5,,5.14,22,26.5,108,9.99,9.99,
2019,Iman Lewis-Marshall,Southern California,CB,73,207,9.5,30.38,,4.53,16,,,9.99,9.99,
2019,Chris Lindstrom,Boston College,OG,76,308,9.5,34.13,,4.91,25,30.5,117,7.61,4.54,
2019,Drew Lock,Missouri,QB,76,228,9,32.5,,4.69,,31,112,7.03,4.12,
2019,David Long,Michigan,CB,71,196,9.63,30.88,,4.45,15,39.5,120,6.45,3.97,
2019,David Long,West Virginia,LB,71,227,10,30.75,,4.45,15,39.5,120,9.99,9.99,
